MI,RR,1,3,0
RV,TB,0,0,3
TP,TB,1,3,0
RR,MM,0,0,3
TP,RV,1,3,1
MI,MM,1,3,2
TB,MB,0,1,3
L5,TP,1,3,2
MM,TP,0,0,3
RV,MI,0,0,3
TB,RR,1,3,1
MB,L5,1,3,0
MM,RV,1,3,1
RR,MB,0,0,3
MB,MI,1,3,1
L5,RR,1,3,0
TB,L5,0,0,3
TP,MI,1,3,1
MB,TP,1,3,0
MM,L5,0,1,3
RV,L5,0,0,3
MI,TB,1,3,1
RR,RV,1,3,0
MB,MM,1,3,1
MI,L5,0,1,3
TP,RR,1,3,0
MB,RV,1,3,0
TB,MM,1,3,1
L5,RR,1,3,0
MI,TP,0,1,3
TB,RV,1,3,0
MB,RR,1,3,0
MM,MB,0,0,3
RV,TP,0,1,3
MI,RV,1,3,0
L5,MM,1,3,0
MM,TB,1,3,0
TP,MB,0,1,3
RR,MI,0,1,3
L5,TB,1,3,1
MB,TB,1,3,0
RV,RR,1,3,0
TP,L5,1,3,2
MM,MI,0,0,3
RR,TP,0,0,3
TB,MI,1,3,1
RV,MB,0.5,0,0
TP,MM,0.5,0,0
L5,MI,0.5,0,0
RR,TB,0.5,0,0
RV,MM,0.5,0,0
MB,L5,0.5,0,0
TB,TP,0.5,0,0
MM,RR,0.5,0,0
MI,MB,0.5,0,0
L5,RV,0.5,0,0
