KB,1853
FN,1731
L5,1676
DG,1655
EX,1644
R2,1606
TF,1469
TP,1544
FZ,1440
SP,1560
TS,1538
DS,1487
ZL,1538
CE,1497
TB,1489
TR,1466
TL,1479
TO,1453
BG,1441
MR,1469
GF,1432
RP,1416
KT,1389
SO,1388
LF,1440
SG,1397
OG,1394
HL,1344
LO,1440
HH,1440
TA,1440
GL,1440
TW,1436
OC,1391
SE,1354
LA,1299
